 numeroProcesos; repeticiones; tiempoTotal;
1; 20041299; 54.319407;
1; 20041299; 54.537943;
1; 20041299; 54.375668;
2; 16005741; 22.550846;
2; 14991055; 21.442705;
2; 15473008; 21.394245;
3; 12988348; 15.947989;
3; 9936026; 9.957914;
3; 10910452; 10.440543;
4; 14108575; 10.498353;
4; 14669772; 10.893048;
4; 15587891; 13.274962;
5; 17955794; 13.084711;
5; 13172310; 9.647547;
5; 15508197; 11.484066;
6; 17104430; 12.469300;
6; 14653714; 10.271686;
6; 16572183; 11.798581;
7; 20838001; 13.827334;
7; 15979580; 10.820332;
7; 16610306; 11.160556;
8; 16764066; 10.397696;
8; 13458316; 8.524568;
8; 15210587; 9.639945;
16; 15493885; 16.811560;
16; 20487703; 22.392643;
16; 29043391; 32.498964;
32; 17874068; 21.221505;
32; 18061517; 21.766037;
32; 12360986; 14.663965;
64; 21399761; 44.642487;
64; 21603727; 46.862426;
64; 16778770; 36.726718;


1; 20041299; 54.784697;
1; 20041299; 55.051327;
1; 20041299; 55.133668;
2; 15643895; 21.518616;
2; 15299241; 30.578594;
2; 15719166; 32.889294;
3; 9891125; 9.351345;
3; 10349047; 10.515611;
3; 10820128; 10.233451;
4; 11895861; 10.484796;
4; 13580944; 10.071589;
4; 16183455; 12.645501;
5; 21135935; 16.340132;
5; 17903733; 13.477752;
5; 20951895; 16.909472;
6; 22713531; 15.845685;
6; 20716714; 15.453628;
6; 12963468; 9.281004;
7; 19575242; 13.062754;
7; 16772435; 10.977018;
7; 20870126; 13.876997;
8; 15699218; 9.531999;
8; 15150450; 9.894916;
8; 17511726; 10.547734;
16; 26646969; 29.695150;
16; 22600810; 24.297704;
16; 24464766; 27.251556;
32; 13423330; 15.848285;
32; 15523420; 18.318630;
32; 13188214; 15.723539;
64; 20091881; 43.813001;
64; 24637756; 71.891847;
64; 18437492; 50.872090;
