 numeroProcesos; repeticiones; tiempoTotal;
1; 20041299; 54.225730;
1; 20041299; 54.150368;
1; 20041299; 54.802686;
1; 20041299; 54.089245;
1; 20041299; 54.814558;
2; 15015710; 22.767022;
2; 15180353; 21.846994;
2; 16059665; 22.653391;
2; 16060812; 22.603548;
2; 14997703; 22.026643;
3; 11972751; 11.512688;
3; 13874437; 13.648558;
3; 10293908; 10.252500;
3; 9684238; 9.656925;
4; 14691599; 11.089202;
4; 12730773; 11.108925;
4; 15266908; 11.846438;
4; 14236537; 10.819439;
4; 14604474; 10.661549;
5; 16967217; 13.703745;
5; 13289202; 9.693562;
5; 18731632; 14.311999;
5; 13309688; 10.464150;
6; 17552506; 12.522984;
6; 13707362; 9.450701;
6; 20222462; 14.335536;
6; 20892705; 14.206128;
6; 16380424; 11.568497;
6; 14392251; 10.250403;
7; 20761623; 13.924583;
7; 22202711; 14.748487;
7; 19447389; 12.670654;
7; 21011885; 13.896633;
7; 22782737; 15.238074;
7; 24489547; 16.729760;
8; 14650020; 9.888373;
8; 16776967; 10.481914;
8; 14515113; 9.617313;
8; 18573880; 11.902330;
8; 19182440; 12.396154;
8; 13949083; 8.933137;
16; 17932184; 19.558522;
16; 23686355; 26.182777;
16; 23882404; 26.270694;
16; 23171889; 25.099779;
32; 12142032; 14.449933;
32; 14589331; 17.319643;
32; 12696791; 15.212229;
32; 24444843; 30.077177;
32; 14982690; 17.878636;
32; 14892960; 17.605735;
64; 23721508; 53.379664;
64; 18947447; 42.082836;
64; 24704242; 58.434856;
64; 15210263; 32.052486;
64; 21009844; 53.982414;
64; 17551624; 39.653825;
