 numeroProcesos; repeticiones; tiempoTotal;
2; 19222492; 29.744464;
2; 20790359; 32.877556;
2; 15522251; 20.921755;
2; 15457265; 20.651115;
2; 25635240; 34.346742;
2; 15008787; 20.224301;
2; 24597594; 34.729609;
2; 24442161; 34.658961;
3; 12764837; 12.573338;
3; 19961116; 18.142934;
3; 16223739; 15.697080;
3; 19908563; 18.121486;
3; 21257050; 20.861276;
3; 20133609; 19.074305;
3; 19633875; 18.031289;
3; 19690144; 18.988815;
4; 13669312; 10.374405;
4; 14489631; 12.388022;
4; 10719574; 9.206356;
4; 19794759; 14.530176;
4; 15546051; 11.399830;
4; 14152030; 11.587553;
4; 15229135; 10.767800;
4; 14922118; 11.740942;
4; 11038622; 8.249609;
5; 14669270; 10.466823;
5; 18677111; 13.759654;
5; 12599632; 9.436649;
5; 18838919; 13.381679;
5; 14821408; 10.788407;
5; 12283262; 8.923336;
5; 18229082; 13.202106;
5; 13016289; 9.473079;
5; 17752279; 12.893883;
6; 16776446; 11.229201;
6; 15857778; 10.536120;
6; 16842667; 11.541604;
6; 18059879; 11.957724;
6; 13902886; 9.497729;
6; 16156588; 10.758996;
6; 16217482; 10.881427;
6; 18507219; 12.502868;
6; 18303674; 12.874662;
6; 13368209; 8.825897;
7; 20300320; 13.068378;
7; 22872816; 14.473585;
7; 21665214; 13.726284;
7; 22433273; 14.542886;
7; 17883985; 11.176791;
7; 22282394; 14.912878;
7; 18600041; 11.559405;
7; 19473409; 12.617737;
7; 15390944; 10.032782;
8; 17007648; 10.474566;
8; 20979477; 12.367196;
8; 22915253; 14.042931;
8; 24046530; 14.781475;
8; 20006055; 12.209769;
8; 19229581; 12.020044;
8; 18122068; 11.054110;
8; 17391089; 11.086397;
8; 21676430; 13.428554;
9; 18125545; 11.419998;
9; 18119452; 11.869410;
9; 17973487; 11.466944;
9; 21785936; 14.249908;
9; 21508303; 13.912492;
9; 19558818; 12.834988;
9; 18356785; 11.940165;
9; 16124696; 10.359265;
10; 22922928; 15.859674;
10; 24493727; 16.294838;
10; 22716109; 15.112589;
10; 25207463; 16.708900;
10; 21921345; 14.521543;
10; 23950766; 16.123454;
10; 20646016; 13.661430;
10; 22455239; 15.224175;
12; 20521798; 15.668790;
12; 19716606; 15.047021;
12; 22729147; 17.471157;
12; 23401684; 17.878614;
12; 15768605; 11.925719;
12; 19215208; 14.802920;
12; 15027119; 11.414457;
16; 19296564; 20.718207;
16; 28992591; 34.560853;
16; 27866680; 31.334536;
16; 21971306; 23.651318;
16; 20666815; 21.816684;
16; 21015933; 22.351947;
16; 29082880; 31.546544;
16; 29096829; 34.770204;
16; 25314570; 27.821133;
32; 16689550; 19.120876;
32; 11930741; 13.828196;
32; 16621751; 19.332952;
32; 12877417; 14.749272;
32; 26407604; 31.726754;
32; 18227659; 21.266725;
32; 12968647; 14.817323;
32; 11287283; 12.988617;
32; 18600713; 21.235148;
32; 15359494; 17.643229;
64; 14560717; 31.496753;
64; 17114653; 36.594702;
64; 25144939; 51.978513;
64; 17393294; 37.495965;
64; 18891238; 41.424153;
64; 18024698; 39.070617;
64; 16280569; 35.881397;
64; 22831008; 48.666710;
64; 26943536; 57.951662;
64; 20921548; 43.994399;
128; 24639981; 130.056441;
128; 17717269; 88.369337;
128; 15443585; 77.208175;
128; 21143137; 162.783039;
